Date,Time,open,high,low,close,volume,oi
06-06-2024,11:30,1278.75,1279.55,1275.6,1275.6,8458,0
06-06-2024,11:35,1275.6,1275.6,1271.2,1272.35,16212,0
06-06-2024,11:40,1272.35,1273.4,1268.55,1272.55,35482,0
06-06-2024,11:45,1272.55,1273.95,1270,1270.35,41767,0
06-06-2024,11:50,1270.5,1275.55,1269.6,1274.75,21572,0
06-06-2024,11:55,1274.75,1280,1274.05,1278.15,43122,0
06-06-2024,12:00,1278.15,1279.95,1277.25,1279.3,4918,0
06-06-2024,12:05,1279.3,1286.5,1278.3,1283,39095,0
06-06-2024,12:10,1283,1283.6,1277,1279.05,6172,0
06-06-2024,12:15,1279.05,1283.95,1279.05,1280.7,35373,0
06-06-2024,12:20,1279.65,1282.85,1278.45,1280.25,50342,0
06-06-2024,12:25,1280.25,1289,1280.25,1287.15,25016,0
06-06-2024,12:30,1287.15,1290,1284.3,1287.2,17718,0
06-06-2024,12:35,1287.2,1289,1285.85,1288,9575,0
06-06-2024,12:40,1288,1292.95,1288,1291.05,26977,0
06-06-2024,12:45,1291.05,1300,1290.25,1298.9,27319,0
06-06-2024,12:50,1299.85,1301.95,1292.6,1293,33669,0
06-06-2024,12:55,1292.75,1293.95,1289.5,1289.95,8809,0
06-06-2024,13:00,1289.95,1292,1289.05,1289.4,13834,0
06-06-2024,13:05,1289.3,1290,1284.65,1286.2,7135,0
06-06-2024,13:10,1286.2,1289.1,1285.55,1287.2,6146,0
06-06-2024,13:15,1287.2,1292.9,1287.1,1292.1,8137,0
06-06-2024,13:20,1291.75,1295,1290,1293.35,13730,0
06-06-2024,13:25,1293.35,1294.35,1290.9,1294.35,27361,0
06-06-2024,13:30,1293.9,1300,1293.9,1300,14218,0
06-06-2024,13:35,1300,1300,1298.25,1299.75,16378,0
06-06-2024,13:40,1299.75,1302.4,1297.55,1302.4,14415,0
06-06-2024,13:45,1302.4,1303.7,1297.3,1300.9,16416,0
06-06-2024,13:50,1300.9,1300.9,1297.65,1299.95,6264,0
06-06-2024,13:55,1299.95,1300,1297.9,1299.45,3835,0
06-06-2024,14:00,1299.45,1300.5,1299.05,1299.05,2915,0
06-06-2024,14:05,1299.05,1301,1297.6,1300.45,5179,0
06-06-2024,14:10,1300.45,1301,1299.05,1300.35,7641,0
06-06-2024,14:15,1299.95,1300.9,1297.35,1297.4,7012,0
06-06-2024,14:20,1297.4,1299.45,1295.9,1297.5,6525,0
06-06-2024,14:25,1297.5,1299.7,1296,1296.4,5229,0
06-06-2024,14:30,1296.4,1297,1292.9,1294.85,10875,0
06-06-2024,14:35,1294.7,1295.1,1292.2,1293.9,3425,0
06-06-2024,14:40,1293.9,1296,1291.3,1296,7801,0
06-06-2024,14:45,1296,1298.9,1295.4,1297.6,7652,0
06-06-2024,14:50,1297.6,1297.6,1293.55,1294.4,6922,0
06-06-2024,14:55,1294.4,1297.05,1293.9,1296.85,13259,0
06-06-2024,15:00,1296.85,1299.45,1295.7,1297.5,30999,0
06-06-2024,15:05,1297.05,1302.8,1296.65,1302.5,57021,0
06-06-2024,15:10,1302.5,1304,1299,1304,68464,0
06-06-2024,15:15,1304,1313.9,1302.55,1312.65,158422,0
06-06-2024,15:20,1312.35,1312.65,1306,1307.35,40816,0
06-06-2024,15:25,1307.35,1309,1305,1309,28352,0
07-06-2024,09:15,1306.45,1310,1300,1303.2,25990,0
07-06-2024,09:20,1305.95,1310.95,1302.55,1306.5,16905,0
07-06-2024,09:25,1306.5,1309.65,1305.2,1306.4,6345,0
07-06-2024,09:30,1306.4,1308.95,1304.4,1305.95,5774,0
07-06-2024,09:35,1305.95,1307.95,1304.9,1306.1,7541,0
07-06-2024,09:40,1306.1,1306.1,1303.45,1303.95,5218,0
07-06-2024,09:45,1303.9,1303.9,1296.55,1299.95,15272,0
07-06-2024,09:50,1300.45,1302,1298.5,1301.65,4815,0
07-06-2024,09:55,1301.65,1303,1298.1,1298.1,5604,0
07-06-2024,10:00,1298.1,1301.95,1298.1,1300.3,3719,0
07-06-2024,10:05,1299.25,1303,1299,1302.6,5648,0
07-06-2024,10:10,1302.6,1303,1300.65,1302.25,1733,0
07-06-2024,10:15,1302.25,1302.85,1300,1302.85,4169,0
07-06-2024,10:20,1302,1303.85,1301.45,1303.5,4312,0
07-06-2024,10:25,1303.5,1304.95,1300,1300,3710,0
07-06-2024,10:30,1300,1302.4,1299.9,1300.95,156499,0
07-06-2024,10:35,1300.95,1302.45,1299.55,1300.9,7778,0
07-06-2024,10:40,1300,1300.85,1298.55,1299,2994,0
07-06-2024,10:45,1299,1300,1299,1299.35,3063,0
07-06-2024,10:50,1299.35,1300.7,1299.05,1299.95,7386,0
07-06-2024,10:55,1299.3,1304.3,1299.05,1302.3,6757,0
07-06-2024,11:00,1302.25,1319.95,1302.15,1318.65,42649,0
07-06-2024,11:05,1318.55,1320,1311,1311,32518,0
07-06-2024,11:10,1311,1315.45,1309.85,1312.65,18537,0
07-06-2024,11:15,1312.35,1314.4,1310.55,1313.35,16619,0
07-06-2024,11:20,1312.8,1312.8,1308.85,1309.65,12155,0
07-06-2024,11:25,1309,1310.25,1308.05,1309.6,11708,0
07-06-2024,11:30,1309.55,1312.85,1308,1308.8,11228,0
07-06-2024,11:35,1308.75,1309.75,1301.95,1302.35,21437,0
07-06-2024,11:40,1302.35,1304.85,1300.2,1301.9,13989,0
07-06-2024,11:45,1300.85,1304.3,1300,1303.25,15411,0
07-06-2024,11:50,1302.15,1304,1301.95,1302.55,9967,0
07-06-2024,11:55,1302.55,1303.35,1300,1301.95,11810,0
07-06-2024,12:00,1301.85,1302.1,1300.05,1300.05,14106,0
07-06-2024,12:05,1300.05,1302.45,1299.2,1302.35,8782,0
07-06-2024,12:10,1302.1,1304.7,1299.75,1300,19811,0
07-06-2024,12:15,1299.75,1300,1299.2,1300,4947,0
07-06-2024,12:20,1299.95,1304.65,1299.35,1302.85,6882,0
07-06-2024,12:25,1302.85,1303.75,1301.2,1301.2,8775,0
07-06-2024,12:30,1301.45,1302.5,1299.35,1299.85,9795,0
07-06-2024,12:35,1299.35,1301.4,1299.15,1299.95,4784,0
07-06-2024,12:40,1300,1300,1299.2,1299.25,6964,0
07-06-2024,12:45,1299.25,1300,1298.65,1298.65,4464,0
07-06-2024,12:50,1298.65,1299.95,1298.05,1299.4,4847,0
07-06-2024,12:55,1299.4,1300,1298.5,1299.65,5746,0
07-06-2024,13:00,1300,1300.7,1299.25,1299.7,2386,0
07-06-2024,13:05,1299.7,1300.85,1297.55,1298.45,6017,0
07-06-2024,13:10,1298.45,1299.95,1297.3,1298.1,10835,0
07-06-2024,13:15,1298.1,1299.55,1297.35,1298.2,7464,0
07-06-2024,13:20,1298.2,1299.95,1298.15,1298.95,8243,0
07-06-2024,13:25,1298.95,1299.85,1294.65,1296.75,13942,0
07-06-2024,13:30,1296.75,1300,1296.7,1300,12317,0
07-06-2024,13:35,1299.1,1300,1297.65,1298.45,9019,0
07-06-2024,13:40,1298.45,1300,1298.25,1298.45,8436,0
07-06-2024,13:45,1298.45,1300,1298.05,1299.95,10445,0
07-06-2024,13:50,1299.95,1300,1298.75,1299.05,14625,0
07-06-2024,13:55,1299.05,1300.3,1298,1298,46269,0
07-06-2024,14:00,1298.45,1301.6,1298.45,1299.05,33746,0
07-06-2024,14:05,1299.5,1306.9,1299,1305.7,31779,0
07-06-2024,14:10,1305.65,1307,1303.6,1304.6,6871,0
07-06-2024,14:15,1304.75,1308.95,1303.75,1307.35,7884,0
07-06-2024,14:20,1307.4,1308.8,1304.4,1304.7,4386,0
07-06-2024,14:25,1304.7,1307.85,1303.25,1303.65,5130,0
07-06-2024,14:30,1304,1307.25,1302.05,1306.4,14937,0
07-06-2024,14:35,1306.35,1307.8,1304,1304.45,22591,0
07-06-2024,14:40,1304.45,1305.5,1299.05,1299.5,24378,0
07-06-2024,14:45,1299.5,1303.6,1299.5,1302.05,16443,0
07-06-2024,14:50,1302.05,1304.95,1301.2,1304.8,12050,0
07-06-2024,14:55,1304.05,1306.7,1303.85,1304.15,18675,0
07-06-2024,15:00,1304.15,1308.8,1303.85,1307,27761,0
07-06-2024,15:05,1306.3,1308.05,1304.65,1305.5,22381,0
07-06-2024,15:10,1304.65,1306.95,1303.05,1306.35,24018,0
07-06-2024,15:15,1306.15,1309.9,1303.6,1309.9,38744,0
07-06-2024,15:20,1309.45,1312,1308.6,1311.5,30905,0
07-06-2024,15:25,1311.2,1312,1302.05,1303,37987,0
