Datetime,close,volume,oi,COI,COP,Bulidup Conclusion Fut,LB,SB,LC,SC,Net LB,Net SB,Cumulative LB,Cumulative SB
25-10: 09:30,19429.0,203650,4329750,104500,32.0,LB,104500.0,0.0,0.0,0.0,104500.0,0.0,104500,0
25-10: 09:45,19437.75,136500,4392400,62650,8.75,LB,62650.0,0.0,0.0,0.0,62650.0,0.0,167150,0
25-10: 10:00,19408.6,192650,4490900,98500,-29.150000000001455,SB,0.0,98500.0,0.0,0.0,0.0,98500.0,167150,98500
25-10: 10:15,19395.3,116500,4552850,61950,-13.299999999999272,SB,0.0,61950.0,0.0,0.0,0.0,61950.0,167150,160450
25-10: 10:30,19394.95,684650,5198550,645700,-0.3499999999985448,SB,0.0,645700.0,0.0,0.0,0.0,645700.0,167150,806150
25-10: 10:45,19372.65,184600,5301500,102950,-22.299999999999272,SB,0.0,102950.0,0.0,0.0,0.0,102950.0,167150,909100
25-10: 11:00,19368.25,167350,5360600,59100,-4.400000000001455,SB,0.0,59100.0,0.0,0.0,0.0,59100.0,167150,968200
25-10: 11:15,19351.45,213300,5484800,124200,-16.799999999999272,SB,0.0,124200.0,0.0,0.0,0.0,124200.0,167150,1092400
25-10: 11:30,19306.0,280800,5626150,141350,-45.45000000000073,SB,0.0,141350.0,0.0,0.0,0.0,141350.0,167150,1233750
25-10: 11:45,19347.3,234900,5754300,128150,41.29999999999927,LB,128150.0,0.0,0.0,0.0,128150.0,0.0,295300,1233750
25-10: 12:00,19327.0,145150,5826650,72350,-20.299999999999272,SB,0.0,72350.0,0.0,0.0,0.0,72350.0,295300,1306100
25-10: 12:15,19300.15,134000,5926200,99550,-26.849999999998545,SB,0.0,99550.0,0.0,0.0,0.0,99550.0,295300,1405650
25-10: 12:30,19242.7,237550,6014900,88700,-57.45000000000073,SB,0.0,88700.0,0.0,0.0,0.0,88700.0,295300,1494350
25-10: 12:45,19183.0,350600,6122500,107600,-59.70000000000073,SB,0.0,107600.0,0.0,0.0,0.0,107600.0,295300,1601950
25-10: 13:00,19173.5,419650,6323300,200800,-9.5,SB,0.0,200800.0,0.0,0.0,0.0,200800.0,295300,1802750
25-10: 13:15,19234.25,294000,6454150,130850,60.75,LB,130850.0,0.0,0.0,0.0,130850.0,0.0,426150,1802750
25-10: 13:30,19210.0,275400,6643700,189550,-24.25,SB,0.0,189550.0,0.0,0.0,0.0,189550.0,426150,1992300
25-10: 13:45,19247.7,225050,6789100,145400,37.70000000000073,LB,145400.0,0.0,0.0,0.0,145400.0,0.0,571550,1992300
25-10: 14:00,19273.95,204650,6915200,126100,26.25,LB,126100.0,0.0,0.0,0.0,126100.0,0.0,697650,1992300
25-10: 14:15,19238.4,187050,6976950,61750,-35.54999999999927,SB,0.0,61750.0,0.0,0.0,0.0,61750.0,697650,2054050
25-10: 14:30,19229.9,227850,7083400,106450,-8.5,SB,0.0,106450.0,0.0,0.0,0.0,106450.0,697650,2160500
25-10: 14:45,19243.05,208050,7181800,98400,13.149999999997817,LB,98400.0,0.0,0.0,0.0,98400.0,0.0,796050,2160500
25-10: 15:00,19229.7,270050,7252850,71050,-13.349999999998545,SB,0.0,71050.0,0.0,0.0,0.0,71050.0,796050,2231550
25-10: 15:15,19227.9,380750,7419400,166550,-1.7999999999992724,SB,0.0,166550.0,0.0,0.0,0.0,166550.0,796050,2398100
26-10: 09:15,19055.25,959150,7515750,96350,-172.65000000000146,SB,0.0,96350.0,0.0,0.0,0.0,96350.0,796050,2494450
26-10: 09:30,19030.8,775600,7883200,367450,-24.450000000000728,SB,0.0,367450.0,0.0,0.0,0.0,367450.0,796050,2861900
26-10: 09:45,19031.5,449350,7965250,82050,0.7000000000007276,LB,82050.0,0.0,0.0,0.0,82050.0,0.0,878100,2861900
26-10: 10:00,19009.55,451000,8137800,172550,-21.950000000000728,SB,0.0,172550.0,0.0,0.0,0.0,172550.0,878100,3034450
26-10: 10:15,18995.0,421600,8289400,151600,-14.549999999999272,SB,0.0,151600.0,0.0,0.0,0.0,151600.0,878100,3186050
26-10: 10:30,19015.0,308200,8400000,110600,20.0,LB,110600.0,0.0,0.0,0.0,110600.0,0.0,988700,3186050
26-10: 10:45,18983.75,344650,8372000,-28000,-31.25,LC,0.0,0.0,-28000.0,0.0,-28000.0,0.0,960700,3186050
26-10: 11:00,18971.9,358600,8447700,75700,-11.849999999998545,SB,0.0,75700.0,0.0,0.0,0.0,75700.0,960700,3261750
26-10: 11:15,18964.5,406500,8514850,67150,-7.400000000001455,SB,0.0,67150.0,0.0,0.0,0.0,67150.0,960700,3328900
26-10: 11:30,18990.55,282650,8649900,135050,26.049999999999272,LB,135050.0,0.0,0.0,0.0,135050.0,0.0,1095750,3328900
26-10: 11:45,18987.0,309850,8670850,20950,-3.5499999999992724,SB,0.0,20950.0,0.0,0.0,0.0,20950.0,1095750,3349850
26-10: 12:00,18974.75,235600,8742550,71700,-12.25,SB,0.0,71700.0,0.0,0.0,0.0,71700.0,1095750,3421550
26-10: 12:15,18982.0,238300,8882200,139650,7.25,LB,139650.0,0.0,0.0,0.0,139650.0,0.0,1235400,3421550
26-10: 12:30,18977.85,210950,9013600,131400,-4.150000000001455,SB,0.0,131400.0,0.0,0.0,0.0,131400.0,1235400,3552950
26-10: 12:45,18983.85,268900,9156050,142450,6.0,LB,142450.0,0.0,0.0,0.0,142450.0,0.0,1377850,3552950
26-10: 13:00,19000.65,395250,9262150,106100,16.80000000000291,LB,106100.0,0.0,0.0,0.0,106100.0,0.0,1483950,3552950
26-10: 13:15,18962.35,385000,9404100,141950,-38.30000000000291,SB,0.0,141950.0,0.0,0.0,0.0,141950.0,1483950,3694900
26-10: 13:30,18963.45,315200,9568900,164800,1.1000000000021828,LB,164800.0,0.0,0.0,0.0,164800.0,0.0,1648750,3694900
26-10: 13:45,18955.55,249650,9707850,138950,-7.900000000001455,SB,0.0,138950.0,0.0,0.0,0.0,138950.0,1648750,3833850
26-10: 14:00,18972.0,227150,9797650,89800,16.450000000000728,LB,89800.0,0.0,0.0,0.0,89800.0,0.0,1738550,3833850
26-10: 14:15,18962.0,298400,9926700,129050,-10.0,SB,0.0,129050.0,0.0,0.0,0.0,129050.0,1738550,3962900
26-10: 14:30,18965.45,290450,10079500,152800,3.4500000000007276,LB,152800.0,0.0,0.0,0.0,152800.0,0.0,1891350,3962900
26-10: 14:45,18978.55,505700,10289550,210050,13.099999999998545,LB,210050.0,0.0,0.0,0.0,210050.0,0.0,2101400,3962900
26-10: 15:00,18968.5,783950,10772250,482700,-10.049999999999272,SB,0.0,482700.0,0.0,0.0,0.0,482700.0,2101400,4445600
26-10: 15:15,18965.9,912550,11256100,483850,-2.599999999998545,SB,0.0,483850.0,0.0,0.0,0.0,483850.0,2101400,4929450
27-10: 09:15,19047.0,940400,10839850,-416250,81.09999999999854,SC,0.0,0.0,0.0,-416250.0,0.0,-416250.0,2101400,4513200
27-10: 09:30,19066.4,453700,10783800,-56050,19.400000000001455,SC,0.0,0.0,0.0,-56050.0,0.0,-56050.0,2101400,4457150
27-10: 09:45,19084.9,476700,10798100,14300,18.5,LB,14300.0,0.0,0.0,0.0,14300.0,0.0,2115700,4457150
27-10: 10:00,19075.35,333600,10813950,15850,-9.55000000000291,SB,0.0,15850.0,0.0,0.0,0.0,15850.0,2115700,4473000
27-10: 10:15,19075.0,313650,10848600,34650,-0.3499999999985448,SB,0.0,34650.0,0.0,0.0,0.0,34650.0,2115700,4507650
27-10: 10:30,19085.0,138500,10899200,50600,10.0,LB,50600.0,0.0,0.0,0.0,50600.0,0.0,2166300,4507650
27-10: 10:45,19095.0,118450,10909800,10600,10.0,LB,10600.0,0.0,0.0,0.0,10600.0,0.0,2176900,4507650
27-10: 11:00,19099.0,161750,10941650,31850,4.0,LB,31850.0,0.0,0.0,0.0,31850.0,0.0,2208750,4507650
27-10: 11:15,19123.0,276550,10958550,16900,24.0,LB,16900.0,0.0,0.0,0.0,16900.0,0.0,2225650,4507650
27-10: 11:30,19112.0,301650,10990700,32150,-11.0,SB,0.0,32150.0,0.0,0.0,0.0,32150.0,2225650,4539800
27-10: 11:45,19134.9,160300,11011750,21050,22.900000000001455,LB,21050.0,0.0,0.0,0.0,21050.0,0.0,2246700,4539800
27-10: 12:00,19131.2,133050,11024550,12800,-3.7000000000007276,SB,0.0,12800.0,0.0,0.0,0.0,12800.0,2246700,4552600
27-10: 12:15,19111.0,144850,11043300,18750,-20.200000000000728,SB,0.0,18750.0,0.0,0.0,0.0,18750.0,2246700,4571350
27-10: 12:30,19115.8,170450,11046250,2950,4.799999999999272,LB,2950.0,0.0,0.0,0.0,2950.0,0.0,2249650,4571350
27-10: 12:45,19102.8,71250,11042550,-3700,-13.0,LC,0.0,0.0,-3700.0,0.0,-3700.0,0.0,2245950,4571350
27-10: 13:00,19113.6,64600,11042600,50,10.799999999999272,LB,50.0,0.0,0.0,0.0,50.0,0.0,2246000,4571350
27-10: 13:15,19122.6,107300,11062800,20200,9.0,LB,20200.0,0.0,0.0,0.0,20200.0,0.0,2266200,4571350
27-10: 13:30,19135.0,91800,11076900,14100,12.400000000001455,LB,14100.0,0.0,0.0,0.0,14100.0,0.0,2280300,4571350
27-10: 13:45,19152.9,265950,11103950,27050,17.900000000001455,LB,27050.0,0.0,0.0,0.0,27050.0,0.0,2307350,4571350
27-10: 14:00,19141.4,130550,11121800,17850,-11.5,SB,0.0,17850.0,0.0,0.0,0.0,17850.0,2307350,4589200
27-10: 14:15,19148.0,67950,11126650,4850,6.599999999998545,LB,4850.0,0.0,0.0,0.0,4850.0,0.0,2312200,4589200
27-10: 14:30,19146.55,192050,11126250,-400,-1.4500000000007276,LC,0.0,0.0,-400.0,0.0,-400.0,0.0,2311800,4589200
27-10: 14:45,19144.0,204100,11130050,3800,-2.5499999999992724,SB,0.0,3800.0,0.0,0.0,0.0,3800.0,2311800,4593000
27-10: 15:00,19126.05,333750,11023800,-106250,-17.950000000000728,LC,0.0,0.0,-106250.0,0.0,-106250.0,0.0,2205550,4593000
27-10: 15:15,19145.0,369600,10972450,-51350,18.950000000000728,SC,0.0,0.0,0.0,-51350.0,0.0,-51350.0,2205550,4541650
30-10: 09:15,19079.0,830050,10920350,-52100,-66.0,LC,0.0,0.0,-52100.0,0.0,-52100.0,0.0,2153450,4541650
30-10: 09:30,19023.9,671800,11048350,128000,-55.099999999998545,SB,0.0,128000.0,0.0,0.0,0.0,128000.0,2153450,4669650
30-10: 09:45,19033.1,233950,10985950,-62400,9.19999999999709,SC,0.0,0.0,0.0,-62400.0,0.0,-62400.0,2153450,4607250
30-10: 10:00,19089.5,273650,11002500,16550,56.400000000001455,LB,16550.0,0.0,0.0,0.0,16550.0,0.0,2170000,4607250
30-10: 10:15,19135.0,427450,10971000,-31500,45.5,SC,0.0,0.0,0.0,-31500.0,0.0,-31500.0,2170000,4575750
30-10: 10:30,19140.85,240150,11000400,29400,5.849999999998545,LB,29400.0,0.0,0.0,0.0,29400.0,0.0,2199400,4575750
30-10: 10:45,19166.85,464150,10960000,-40400,26.0,SC,0.0,0.0,0.0,-40400.0,0.0,-40400.0,2199400,4535350
30-10: 11:00,19153.25,135800,10959900,-100,-13.599999999998545,LC,0.0,0.0,-100.0,0.0,-100.0,0.0,2199300,4535350
30-10: 11:15,19182.95,160750,10946600,-13300,29.700000000000728,SC,0.0,0.0,0.0,-13300.0,0.0,-13300.0,2199300,4522050
30-10: 11:30,19195.55,289900,10924150,-22450,12.599999999998545,SC,0.0,0.0,0.0,-22450.0,0.0,-22450.0,2199300,4499600
30-10: 11:45,19199.0,178550,10944950,20800,3.4500000000007276,LB,20800.0,0.0,0.0,0.0,20800.0,0.0,2220100,4499600
30-10: 12:00,19186.55,228950,11023150,78200,-12.450000000000728,SB,0.0,78200.0,0.0,0.0,0.0,78200.0,2220100,4577800
30-10: 12:15,19186.45,231700,11056450,33300,-0.09999999999854481,SB,0.0,33300.0,0.0,0.0,0.0,33300.0,2220100,4611100
30-10: 12:30,19197.0,81700,11069400,12950,10.549999999999272,LB,12950.0,0.0,0.0,0.0,12950.0,0.0,2233050,4611100
30-10: 12:45,19202.5,98900,11087650,18250,5.5,LB,18250.0,0.0,0.0,0.0,18250.0,0.0,2251300,4611100
30-10: 13:00,19204.05,66600,11097650,10000,1.5499999999992724,LB,10000.0,0.0,0.0,0.0,10000.0,0.0,2261300,4611100
30-10: 13:15,19204.5,111600,11115000,17350,0.4500000000007276,LB,17350.0,0.0,0.0,0.0,17350.0,0.0,2278650,4611100
30-10: 13:30,19208.55,141150,11123350,8350,4.049999999999272,LB,8350.0,0.0,0.0,0.0,8350.0,0.0,2287000,4611100
30-10: 13:45,19203.0,151100,11167850,44500,-5.549999999999272,SB,0.0,44500.0,0.0,0.0,0.0,44500.0,2287000,4655600
30-10: 14:00,19200.85,292400,11321900,154050,-2.150000000001455,SB,0.0,154050.0,0.0,0.0,0.0,154050.0,2287000,4809650
30-10: 14:15,19189.05,173000,11385000,63100,-11.799999999999272,SB,0.0,63100.0,0.0,0.0,0.0,63100.0,2287000,4872750
30-10: 14:30,19209.6,112200,11418500,33500,20.549999999999272,LB,33500.0,0.0,0.0,0.0,33500.0,0.0,2320500,4872750
30-10: 14:45,19208.75,125450,11453100,34600,-0.8499999999985448,SB,0.0,34600.0,0.0,0.0,0.0,34600.0,2320500,4907350
30-10: 15:00,19221.35,235450,11434250,-18850,12.599999999998545,SC,0.0,0.0,0.0,-18850.0,0.0,-18850.0,2320500,4888500
30-10: 15:15,19234.0,305650,11404550,-29700,12.650000000001455,SC,0.0,0.0,0.0,-29700.0,0.0,-29700.0,2320500,4858800
31-10: 09:15,19214.0,827250,11071350,-333200,-20.0,LC,0.0,0.0,-333200.0,0.0,-333200.0,0.0,1987300,4858800
31-10: 09:30,19220.8,520000,11233850,162500,6.799999999999272,LB,162500.0,0.0,0.0,0.0,162500.0,0.0,2149800,4858800
31-10: 09:45,19184.0,289600,11181600,-52250,-36.79999999999927,LC,0.0,0.0,-52250.0,0.0,-52250.0,0.0,2097550,4858800
31-10: 10:00,19156.65,333400,11217200,35600,-27.349999999998545,SB,0.0,35600.0,0.0,0.0,0.0,35600.0,2097550,4894400
31-10: 10:15,19157.1,240900,11285900,68700,0.4499999999970896,LB,68700.0,0.0,0.0,0.0,68700.0,0.0,2166250,4894400
31-10: 10:30,19129.95,215750,11297450,11550,-27.149999999997817,SB,0.0,11550.0,0.0,0.0,0.0,11550.0,2166250,4905950
31-10: 10:45,19154.8,235200,11337850,40400,24.849999999998545,LB,40400.0,0.0,0.0,0.0,40400.0,0.0,2206650,4905950
31-10: 11:00,19156.0,196800,11358600,20750,1.2000000000007276,LB,20750.0,0.0,0.0,0.0,20750.0,0.0,2227400,4905950
31-10: 11:15,19170.75,133900,11361700,3100,14.75,LB,3100.0,0.0,0.0,0.0,3100.0,0.0,2230500,4905950
31-10: 11:30,19147.45,111800,11376250,14550,-23.299999999999272,SB,0.0,14550.0,0.0,0.0,0.0,14550.0,2230500,4920500
31-10: 11:45,19136.5,194850,11400550,24300,-10.950000000000728,SB,0.0,24300.0,0.0,0.0,0.0,24300.0,2230500,4944800
31-10: 12:00,19133.25,101650,11435400,34850,-3.25,SB,0.0,34850.0,0.0,0.0,0.0,34850.0,2230500,4979650
31-10: 12:15,19136.55,114450,11451600,16200,3.2999999999992724,LB,16200.0,0.0,0.0,0.0,16200.0,0.0,2246700,4979650
31-10: 12:30,19154.75,106300,11465000,13400,18.200000000000728,LB,13400.0,0.0,0.0,0.0,13400.0,0.0,2260100,4979650
31-10: 12:45,19151.75,63700,11479400,14400,-3.0,SB,0.0,14400.0,0.0,0.0,0.0,14400.0,2260100,4994050
31-10: 13:00,19160.95,90850,11477750,-1650,9.200000000000728,SC,0.0,0.0,0.0,-1650.0,0.0,-1650.0,2260100,4992400
31-10: 13:15,19171.9,138700,11484350,6600,10.950000000000728,LB,6600.0,0.0,0.0,0.0,6600.0,0.0,2266700,4992400
31-10: 13:30,19159.0,239100,11517000,32650,-12.900000000001455,SB,0.0,32650.0,0.0,0.0,0.0,32650.0,2266700,5025050
31-10: 13:45,19158.3,68000,11520950,3950,-0.7000000000007276,SB,0.0,3950.0,0.0,0.0,0.0,3950.0,2266700,5029000
31-10: 14:00,19174.2,88450,11510200,-10750,15.900000000001455,SC,0.0,0.0,0.0,-10750.0,0.0,-10750.0,2266700,5018250
31-10: 14:15,19212.3,316900,11443300,-66900,38.099999999998545,SC,0.0,0.0,0.0,-66900.0,0.0,-66900.0,2266700,4951350
31-10: 14:30,19209.75,316200,11477550,34250,-2.5499999999992724,SB,0.0,34250.0,0.0,0.0,0.0,34250.0,2266700,4985600
31-10: 14:45,19187.1,218400,11505700,28150,-22.650000000001455,SB,0.0,28150.0,0.0,0.0,0.0,28150.0,2266700,5013750
31-10: 15:00,19164.2,559300,11534100,28400,-22.899999999997817,SB,0.0,28400.0,0.0,0.0,0.0,28400.0,2266700,5042150
31-10: 15:15,19165.0,470000,11412100,-122000,0.7999999999992724,SC,0.0,0.0,0.0,-122000.0,0.0,-122000.0,2266700,4920150
01-11: 09:15,19145.0,568050,11077800,-334300,-20.0,LC,0.0,0.0,-334300.0,0.0,-334300.0,0.0,1932400,4920150
01-11: 09:30,19155.0,273400,11159350,81550,10.0,LB,81550.0,0.0,0.0,0.0,81550.0,0.0,2013950,4920150
01-11: 09:45,19112.0,343700,11203600,44250,-43.0,SB,0.0,44250.0,0.0,0.0,0.0,44250.0,2013950,4964400
01-11: 10:00,19117.6,387050,11319450,115850,5.599999999998545,LB,115850.0,0.0,0.0,0.0,115850.0,0.0,2129800,4964400
01-11: 10:15,19127.0,147300,11333050,13600,9.400000000001455,LB,13600.0,0.0,0.0,0.0,13600.0,0.0,2143400,4964400
01-11: 10:30,19126.2,119900,11375200,42150,-0.7999999999992724,SB,0.0,42150.0,0.0,0.0,0.0,42150.0,2143400,5006550
01-11: 10:45,19131.05,136500,11377700,2500,4.849999999998545,LB,2500.0,0.0,0.0,0.0,2500.0,0.0,2145900,5006550
01-11: 11:00,19118.55,61400,11385800,8100,-12.5,SB,0.0,8100.0,0.0,0.0,0.0,8100.0,2145900,5014650
01-11: 11:15,19116.0,51400,11396850,11050,-2.5499999999992724,SB,0.0,11050.0,0.0,0.0,0.0,11050.0,2145900,5025700
01-11: 11:30,19122.85,80850,11411500,14650,6.849999999998545,LB,14650.0,0.0,0.0,0.0,14650.0,0.0,2160550,5025700
01-11: 11:45,19124.3,108250,11415800,4300,1.4500000000007276,LB,4300.0,0.0,0.0,0.0,4300.0,0.0,2164850,5025700
01-11: 12:00,19130.9,39000,11411250,-4550,6.600000000002183,SC,0.0,0.0,0.0,-4550.0,0.0,-4550.0,2164850,5021150
01-11: 12:15,19136.85,97100,11401650,-9600,5.94999999999709,SC,0.0,0.0,0.0,-9600.0,0.0,-9600.0,2164850,5011550
01-11: 12:30,19110.0,142500,11400550,-1100,-26.849999999998545,LC,0.0,0.0,-1100.0,0.0,-1100.0,0.0,2163750,5011550
01-11: 12:45,19108.9,81050,11414950,14400,-1.0999999999985448,SB,0.0,14400.0,0.0,0.0,0.0,14400.0,2163750,5025950
01-11: 13:00,19070.0,364250,11439300,24350,-38.900000000001455,SB,0.0,24350.0,0.0,0.0,0.0,24350.0,2163750,5050300
01-11: 13:15,19078.0,282800,11500350,61050,8.0,LB,61050.0,0.0,0.0,0.0,61050.0,0.0,2224800,5050300
01-11: 13:30,19104.8,150650,11522000,21650,26.799999999999272,LB,21650.0,0.0,0.0,0.0,21650.0,0.0,2246450,5050300
01-11: 13:45,19081.3,216400,11534000,12000,-23.5,SB,0.0,12000.0,0.0,0.0,0.0,12000.0,2246450,5062300
01-11: 14:00,19082.0,160750,11566250,32250,0.7000000000007276,LB,32250.0,0.0,0.0,0.0,32250.0,0.0,2278700,5062300
01-11: 14:15,19078.35,70850,11570500,4250,-3.650000000001455,SB,0.0,4250.0,0.0,0.0,0.0,4250.0,2278700,5066550
01-11: 14:30,19070.75,157350,11562350,-8150,-7.599999999998545,LC,0.0,0.0,-8150.0,0.0,-8150.0,0.0,2270550,5066550
01-11: 14:45,19079.25,123900,11556400,-5950,8.5,SC,0.0,0.0,0.0,-5950.0,0.0,-5950.0,2270550,5060600
01-11: 15:00,19061.7,334550,11550200,-6200,-17.549999999999272,LC,0.0,0.0,-6200.0,0.0,-6200.0,0.0,2264350,5060600
01-11: 15:15,19054.0,491100,11537450,-12750,-7.700000000000728,LC,0.0,0.0,-12750.0,0.0,-12750.0,0.0,2251600,5060600
02-11: 09:15,19229.7,1314500,11407650,-129800,175.70000000000073,SC,0.0,0.0,0.0,-129800.0,0.0,-129800.0,2251600,4930800
02-11: 09:30,19232.35,479500,11467600,59950,2.649999999997817,LB,59950.0,0.0,0.0,0.0,59950.0,0.0,2311550,4930800
02-11: 09:45,19210.8,250750,11501900,34300,-21.549999999999272,SB,0.0,34300.0,0.0,0.0,0.0,34300.0,2311550,4965100
02-11: 10:00,19195.9,305000,11550500,48600,-14.899999999997817,SB,0.0,48600.0,0.0,0.0,0.0,48600.0,2311550,5013700
02-11: 10:15,19194.0,273700,11589450,38950,-1.9000000000014552,SB,0.0,38950.0,0.0,0.0,0.0,38950.0,2311550,5052650
02-11: 10:30,19192.5,141950,11580250,-9200,-1.5,LC,0.0,0.0,-9200.0,0.0,-9200.0,0.0,2302350,5052650
02-11: 10:45,19183.0,160600,11580100,-150,-9.5,LC,0.0,0.0,-150.0,0.0,-150.0,0.0,2302200,5052650
02-11: 11:00,19196.15,207850,11572250,-7850,13.150000000001455,SC,0.0,0.0,0.0,-7850.0,0.0,-7850.0,2302200,5044800
02-11: 11:15,19181.0,123450,11594500,22250,-15.150000000001455,SB,0.0,22250.0,0.0,0.0,0.0,22250.0,2302200,5067050
02-11: 11:30,19156.2,250550,11589800,-4700,-24.799999999999272,LC,0.0,0.0,-4700.0,0.0,-4700.0,0.0,2297500,5067050
02-11: 11:45,19151.0,342650,11618200,28400,-5.200000000000728,SB,0.0,28400.0,0.0,0.0,0.0,28400.0,2297500,5095450
02-11: 12:00,19160.7,318600,11595550,-22650,9.700000000000728,SC,0.0,0.0,0.0,-22650.0,0.0,-22650.0,2297500,5072800
02-11: 12:15,19171.6,229600,11565150,-30400,10.899999999997817,SC,0.0,0.0,0.0,-30400.0,0.0,-30400.0,2297500,5042400
02-11: 12:30,19179.0,163900,11535600,-29550,7.400000000001455,SC,0.0,0.0,0.0,-29550.0,0.0,-29550.0,2297500,5012850
02-11: 12:45,19183.95,102650,11524350,-11250,4.950000000000728,SC,0.0,0.0,0.0,-11250.0,0.0,-11250.0,2297500,5001600
02-11: 13:00,19194.0,141300,11549950,25600,10.049999999999272,LB,25600.0,0.0,0.0,0.0,25600.0,0.0,2323100,5001600
