Date of Initiation,Expiry,Call Strike,Put Strike
03-01-2020,09-01-2020,12450,12050
10-01-2020,16-01-2020,12450,12000
17-01-2020,23-01-2020,12550,12150
24-01-2020,30-01-2020,12400,11900
31-01-2020,06-02-2020,12500,11600
07-02-2020,13-02-2020,12350,11850
14-02-2020,20-02-2020,12450,12050
20-02-2020,27-02-2020,12350,11850
28-02-2020,05-03-2020,11700,10800
06-03-2020,12-03-2020,11300,10200
13-03-2020,19-03-2020,NA,NA
20-03-2020,26-03-2020,9450,7100
27-03-2020,01-04-2020,9900,7800
03-04-2020,09-04-2020,8750,7400
09-04-2020,16-04-2020,9600,8200
17-04-2020,23-04-2020,9850,8750
24-04-2020,30-04-2020,9600,8650
30-04-2020,07-05-2020,10100,9300
08-05-2020,14-05-2020,9800,8900
15-05-2020,21-05-2020,9600,8650
22-05-2020,28-05-2020,9400,8650
29-05-2020,04-06-2020,9800,9000
05-06-2020,11-06-2020,10500,9650
12-06-2020,18-06-2020,10100,9050
19-06-2020,25-06-2020,10550,9650
26-06-2020,02-07-2020,10750,9900
03-07-2020,09-07-2020,10950,10200
10-07-2020,16-07-2020,11100,10400
17-07-2020,23-07-2020,11100,10450
24-07-2020,30-07-2020,11450,10700
31-07-2020,06-08-2020,11450,10650
07-08-2020,13-08-2020,11500,10850
14-08-2020,20-08-2020,11600,11050
21-08-2020,27-08-2020,11650,11050
28-08-2020,03-09-2020,11850,11300
04-09-2020,10-09-2020,11700,10950
11-09-2020,17-09-2020,11750,11100
18-09-2020,24-09-2020,11800,11200
25-09-2020,01-10-2020,11250,10500
01-10-2020,08-10-2020,11650,11050
09-10-2020,15-10-2020,12200,11500
16-10-2020,22-10-2020,12100,11400
23-10-2020,29-10-2020,12250,11600
30-10-2020,05-11-2020,12100,11200
06-11-2020,12-11-2020,12450,11750
13-11-2020,19-11-2020,12950,12300
20-11-2020,26-11-2020,13150,12500
27-11-2020,03-12-2020,13350,12650
04-12-2020,10-12-2020,13500,12850
11-12-2020,17-12-2020,13850,13200
18-12-2020,24-12-2020,14050,13400
24-12-2020,31-12-2020,14000,13300
01-01-2021,07-01-2021,14350,13600
08-01-2021,14-01-2021,14550,13900
15-01-2021,21-01-2021,14950,14150
22-01-2021,28-01-2021,14950,14100
29-01-2021,04-02-2021,14500,13350
05-02-2021,11-02-2021,15400,14450
12-02-2021,18-02-2021,15550,14800
19-02-2021,25-02-2021,15400,14600
26-02-2021,04-03-2021,15300,14300
05-03-2021,11-03-2021,15500,14300
12-03-2021,18-03-2021,15700,14850
19-03-2021,25-03-2021,14950,13850
26-03-2021,01-04-2021,14950,13950
01-04-2021,08-04-2021,15200,14350
09-04-2021,15-04-2021,15250,14300
16-04-2021,22-04-2021,15000,14100
23-04-2021,29-04-2021,14800,13800
30-04-2021,06-05-2021,15250,14200
07-05-2021,12-05-2021,15200,14400
14-05-2021,20-05-2021,15100,14300
21-05-2021,27-05-2021,15350,14650
28-05-2021,03-06-2021,15750,15100
04-06-2021,10-06-2021,16000,15350
11-06-2021,17-06-2021,16100,15500
18-06-2021,24-06-2021,16000,15350
25-06-2021,01-07-2021,16150,15450
02-07-2021,08-07-2021,15950,15400
09-07-2021,15-07-2021,15950,15350
16-07-2021,22-07-2021,16200,15650
23-07-2021,29-07-2021,16100,15600
30-07-2021,05-08-2021,16050,15500
06-08-2021,12-08-2021,16600,15950
13-08-2021,18-08-2021,16650,16150
20-08-2021,26-08-2021,16700,16050
27-08-2021,02-09-2021,16900,16350
03-09-2021,09-09-2021,17650,16950
09-09-2021,16-09-2021,17650,17000
17-09-2021,23-09-2021,18050,17400
24-09-2021,30-09-2021,18350,17550
01-10-2021,07-10-2021,17900,17000
08-10-2021,14-10-2021,18200,17450
14-10-2021,21-10-2021,18650,17850
22-10-2021,28-10-2021,18700,17850
29-10-2021,03-11-2021,18200,17150
03-11-2021,11-11-2021,18400,17550
12-11-2021,18-11-2021,18300,17600
18-11-2021,25-11-2021,18300,17500
26-11-2021,02-12-2021,17700,16850
03-12-2021,09-12-2021,17850,17000
10-12-2021,16-12-2021,17850,17000
17-12-2021,23-12-2021,17600,16750
24-12-2021,30-12-2021,17450,16600
31-12-2021,06-01-2022,17650,16850
07-01-2022,13-01-2022,18250,17400
14-01-2022,20-01-2022,18500,17750
21-01-2022,27-01-2022,18000,17050
28-01-2022,03-02-2022,18000,16600
04-02-2022,10-02-2022,17950,16950
11-02-2022,17-02-2022,17850,16950
18-02-2022,24-02-2022,17800,16500
25-02-2022,03-03-2022,17200,15750
04-03-2022,10-03-2022,16950,15450
11-03-2022,17-03-2022,17150,15850
17-03-2022,24-03-2022,17800,16550
25-03-2022,31-03-2022,17750,16700
01-04-2022,07-04-2022,17900,16950
08-04-2022,13-04-2022,18100,17250
13-04-2022,21-04-2022,18050,17250
22-04-2022,28-04-2022,17600,16750
29-04-2022,05-05-2022,17700,16900
06-05-2022,12-05-2022,16900,15850
13-05-2022,19-05-2022,16450,15400
20-05-2022,26-05-2022,16550,15500
27-05-2022,02-06-2022,16750,15750
03-06-2022,09-06-2022,17200,16300
10-06-2022,16-06-2022,16700,15850
17-06-2022,23-06-2022,15800,14700
24-06-2022,30-06-2022,16200,15200
01-07-2022,07-07-2022,16100,15150
08-07-2022,14-07-2022,16600,15750
15-07-2022,21-07-2022,16350,15650
22-07-2022,28-07-2022,17000,16300
29-07-2022,04-08-2022,17500,16700
05-08-2022,11-08-2022,17850,16900
12-08-2022,18-08-2022,17950,17300
19-08-2022,25-08-2022,18300,17600
26-08-2022,01-09-2022,18050,17250
02-09-2022,08-09-2022,18050,17100
09-09-2022,15-09-2022,18250,17500
16-09-2022,22-09-2022,18200,17300
23-09-2022,29-09-2022,18000,17050
30-09-2022,06-10-2022,17300,16250
07-10-2022,13-10-2022,17700,16850
14-10-2022,20-10-2022,17700,16900
21-10-2022,27-10-2022,17950,17250
28-10-2022,03-11-2022,18150,17400
04-11-2022,10-11-2022,18450,17700
11-11-2022,17-11-2022,18600,17950
18-11-2022,24-11-2022,18650,18050
25-11-2022,01-12-2022,18800,18200
02-12-2022,08-12-2022,19100,18450
09-12-2022,15-12-2022,18950,18400
16-12-2022,22-12-2022,18700,18050
23-12-2022,29-12-2022,18450,17600
30-12-2022,05-01-2023,18550,17900
06-01-2023,12-01-2023,18350,17650
13-01-2023,19-01-2023,18200,17450
20-01-2023,26-01-2023,18400,17800
27-01-2023,02-02-2023,18450,17650
03-02-2023,09-02-2023,18100,17300
10-02-2023,16-02-2023,18150,17550
17-02-2023,23-02-2023,18250,17650
24-02-2023,02-03-2023,17900,17300
03-03-2023,09-03-2023,17700,17200
10-03-2023,16-03-2023,17700,17050
17-03-2023,23-03-2023,17500,16700
24-03-2023,30-03-2023,17400,16750
31-03-2023,06-04-2023,17550,16900
06-04-2023,13-04-2023,17800,17200
13-04-2023,20-04-2023,18100,17500
21-04-2023,27-04-2023,17900,17400
28-04-2023,04-05-2023,18200,17700
05-05-2023,11-05-2023,18450,17900
12-05-2023,18-05-2023,18550,17950
19-05-2023,25-05-2023,18450,17900
26-05-2023,01-06-2023,18600,18050
02-06-2023,08-06-2023,18850,18300
09-06-2023,15-06-2023,18950,18400
16-06-2023,22-06-2023,19000,18500
23-06-2023,29-06-2023,19000,18450
30-06-2023,06-07-2023,19350,18800
07-07-2023,13-07-2023,19750,19150
14-07-2023,20-07-2023,19750,19200
21-07-2023,27-07-2023,20200,19500
28-07-2023,03-08-2023,19950,19300
04-08-2023,10-08-2023,19800,19200
11-08-2023,17-08-2023,19800,19200
18-08-2023,24-08-2023,19600,19000
25-08-2023,31-08-2023,19550,18950
01-09-2023,07-09-2023,19600,19000
08-09-2023,14-09-2023,20000,19500
15-09-2023,21-09-2023,20450,19850
22-09-2023,28-09-2023,20100,19500
29-09-2023,05-10-2023,19900,19250
06-10-2023,12-10-2023,19900,19300
13-10-2023,19-10-2023,20000,19400
20-10-2023,26-10-2023,19850,19250
27-10-2023,02-11-2023,19300,18600
03-11-2023,09-11-2023,19550,19000
10-11-2023,16-11-2023,19600,19100
17-11-2023,23-11-2023,20050,19450
24-11-2023,30-11-2023,20100,19600
01-12-2023,07-12-2023,20600,19900
08-12-2023,14-12-2023,21300,20650
15-12-2023,21-12-2023,21650,21000
22-12-2023,28-12-2023,21700,20900
29-12-2023,04-01-2024,22200,21300
05-01-2024,11-01-2024,22100,21400
12-01-2024,18-01-2024,22100,21350
