,placed_by,order_id,exchange_order_id,parent_order_id,status,status_message,status_message_raw,order_timestamp,exchange_update_timestamp,exchange_timestamp,variety,modified,exchange,tradingsymbol,instrument_token,order_type,transaction_type,validity,validity_ttl,product,quantity,disclosed_quantity,price,trigger_price,average_price,filled_quantity,pending_quantity,cancelled_quantity,market_protection,meta,tag,tags,guid
0,CHV541,231018601949508,1E+15,,CANCELLED,,,18-10-2023 13:05,18-10-2023 13:05,18-10-2023 13:05,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,LIMIT,BUY,DAY,0,MIS,50,0,220,0,0,0,50,50,0,{},TradeViaPython,['TradeViaPython'],01Xn5Z2YpvHh5on
1,CHV541,231018601957048,1E+15,,CANCELLED,,,18-10-2023 13:06,18-10-2023 13:06,18-10-2023 13:06,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,LIMIT,BUY,DAY,0,NRML,50,0,220,0,0,0,50,50,0,{},TradeViaPython,['TradeViaPython'],01XMrNDCOyLGVB2
2,CHV541,231018601988364,1E+15,,COMPLETE,,,18-10-2023 13:13,18-10-2023 13:13,18-10-2023 13:13,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,MARKET,BUY,DAY,0,NRML,50,0,0,0,229.5,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XxS0E6FwmSjtm
3,CHV541,231018601993797,1E+15,,COMPLETE,,,18-10-2023 13:14,18-10-2023 13:14,18-10-2023 13:14,regular,FALSE,NFO,NIFTY23O1919500CE,11379714,MARKET,SELL,DAY,0,NRML,50,0,0,0,231.8,50,0,0,0,{},,,19Xuchiisinyozu
4,CHV541,231018602014592,1E+15,,COMPLETE,,,18-10-2023 13:18,18-10-2023 13:18,18-10-2023 13:18,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,SELL,DAY,0,MIS,50,0,0,0,43.3,50,0,0,0,{},,,01XMh7ALe3PgFML
5,CHV541,231018602017995,1E+15,,COMPLETE,,,18-10-2023 13:19,18-10-2023 13:19,18-10-2023 13:19,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,BUY,DAY,0,MIS,50,0,0,0,42.35,50,0,0,0,{},,,01XsUhmIGHJ5VIR
6,CHV541,231018602058279,1E+15,,COMPLETE,,,18-10-2023 13:26,18-10-2023 13:26,18-10-2023 13:26,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,SELL,DAY,0,NRML,50,0,0,0,42.3,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XZxF7DpQjgxEo
7,CHV541,231018602061878,1E+15,,COMPLETE,,,18-10-2023 13:27,18-10-2023 13:27,18-10-2023 13:27,regular,FALSE,NFO,NIFTY23O1920350CE,11389442,MARKET,BUY,DAY,0,NRML,50,0,0,0,1.2,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XrWEG8RzqsJNn
8,CHV541,231018602084485,1E+15,,COMPLETE,,,18-10-2023 13:33,18-10-2023 13:33,18-10-2023 13:33,regular,FALSE,NFO,NIFTY23O1920350CE,11389442,MARKET,SELL,DAY,0,NRML,50,0,0,0,1.15,50,0,0,0,{},,,01Xo17L5oFDzwd7
9,CHV541,231018602084928,1E+15,,COMPLETE,,,18-10-2023 13:33,18-10-2023 13:33,18-10-2023 13:33,regular,FALSE,NFO,NIFTY23O1919750CE,11382274,MARKET,BUY,DAY,0,NRML,50,0,0,0,40.05,50,0,0,0,{},,,01XlYF2n6YUgVph
10,CHV541,231018602103664,1.2E+15,,COMPLETE,,,18-10-2023 13:37,18-10-2023 13:37,18-10-2023 13:37,regular,FALSE,NFO,NIFTY23OCT20050CE,17234434,LIMIT,SELL,DAY,0,NRML,50,0,18.6,0,18.8,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XwHjEC9ndJnzy
11,CHV541,231018602103698,1.2E+15,,COMPLETE,,,18-10-2023 13:39,18-10-2023 13:39,18-10-2023 13:37,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,LIMIT,SELL,DAY,0,NRML,50,0,28.6,0,28.6,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XQ9uxdKt0vmdz
12,CHV541,231018602174133,1.2E+15,,COMPLETE,,,18-10-2023 13:51,18-10-2023 13:51,18-10-2023 13:51,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,MARKET,BUY,DAY,0,NRML,50,0,0,0,28.25,50,0,0,0,{},,,01XP41R2PtTK7NF
13,CHV541,231018602174413,1.2E+15,,COMPLETE,,,18-10-2023 13:51,18-10-2023 13:51,18-10-2023 13:51,regular,FALSE,NFO,NIFTY23OCT20050CE,17234434,MARKET,BUY,DAY,0,NRML,50,0,0,0,18.5,50,0,0,0,{},,,01XJYYxj2z0KBaT
14,CHV541,231018602218896,1.2E+15,,COMPLETE,,,18-10-2023 14:00,18-10-2023 14:00,18-10-2023 14:00,regular,FALSE,NFO,NIFTY23OCT20050CE,17234434,LIMIT,SELL,DAY,0,NRML,50,0,19.3,0,19.4,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01Xj4Vm6emdSR3J
15,CHV541,231018602218914,1.2E+15,,COMPLETE,,,18-10-2023 14:01,18-10-2023 14:01,18-10-2023 14:00,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,LIMIT,SELL,DAY,0,NRML,50,0,26.25,0,26.25,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01X6Kewrk7QVShQ
16,CHV541,231018602237596,1.2E+15,,COMPLETE,,,18-10-2023 14:04,18-10-2023 14:04,18-10-2023 14:04,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,MARKET,BUY,DAY,0,NRML,50,0,0,0,25.75,50,0,0,0,{},,,01XxYPYUmesxmmY
17,CHV541,231018602237935,1.2E+15,,COMPLETE,,,18-10-2023 14:04,18-10-2023 14:04,18-10-2023 14:04,regular,FALSE,NFO,NIFTY23OCT20050CE,17234434,MARKET,BUY,DAY,0,NRML,50,0,0,0,19.35,50,0,0,0,{},,,01Xm74vDqvaoElz
18,CHV541,231018602249260,1.2E+15,,COMPLETE,,,18-10-2023 14:06,18-10-2023 14:06,18-10-2023 14:06,regular,FALSE,NFO,NIFTY23OCT20050CE,17234434,LIMIT,SELL,DAY,0,NRML,50,0,18.75,0,19,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XNQuochGl1fic
19,CHV541,231018602249312,1.2E+15,,COMPLETE,,,18-10-2023 14:06,18-10-2023 14:06,18-10-2023 14:06,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,LIMIT,SELL,DAY,0,NRML,50,0,26.25,0,26.4,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XZq35vxaun9V8
20,CHV541,231018602249395,1.2E+15,,COMPLETE,,,18-10-2023 14:06,18-10-2023 14:06,18-10-2023 14:06,regular,FALSE,NFO,NIFTY23OCT20650CE,17240578,MARKET,BUY,DAY,0,NRML,50,0,0,0,2.85,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01Xw73rCXZguv1e
21,CHV541,231018602249435,1.2E+15,,COMPLETE,,,18-10-2023 14:06,18-10-2023 14:06,18-10-2023 14:06,regular,FALSE,NFO,NIFTY23OCT18750PE,17221378,MARKET,BUY,DAY,0,NRML,50,0,0,0,5,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01XPqNSwcC9abFo
22,CHV541,231018602268449,1.2E+15,,COMPLETE,,,18-10-2023 14:10,18-10-2023 14:10,18-10-2023 14:10,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,MARKET,BUY,DAY,0,NRML,50,0,0,0,25.1,50,0,0,0,{},,,01XwHK6Cdc0dQjQ
23,CHV541,231018602268908,1.2E+15,,COMPLETE,,,18-10-2023 14:10,18-10-2023 14:10,18-10-2023 14:10,regular,FALSE,NFO,NIFTY23OCT20050CE,17234434,MARKET,BUY,DAY,0,NRML,50,0,0,0,19.4,50,0,0,0,{},,,01XZYprnuopPp57
24,CHV541,231018602269369,1.2E+15,,COMPLETE,,,18-10-2023 14:10,18-10-2023 14:10,18-10-2023 14:10,regular,FALSE,NFO,NIFTY23OCT18750PE,17221378,MARKET,SELL,DAY,0,NRML,50,0,0,0,4.85,50,0,0,0,{},,,01X6A2JehkP0HL1
25,CHV541,231018602270052,1.2E+15,,COMPLETE,,,18-10-2023 14:10,18-10-2023 14:10,18-10-2023 14:10,regular,FALSE,NFO,NIFTY23OCT20650CE,17240578,MARKET,SELL,DAY,0,NRML,50,0,0,0,2.55,50,0,0,0,{},,,01Xx49suEC6kiAF
26,CHV541,231018602483298,1.2E+15,,COMPLETE,,,18-10-2023 14:47,18-10-2023 14:47,18-10-2023 14:47,regular,FALSE,NFO,NIFTY23OCT20000CE,17233922,LIMIT,SELL,DAY,0,NRML,50,0,21.8,0,21.8,50,0,0,0,{},TradeViaPython,['TradeViaPython'],01X8ckTWDiYKxvw
27,CHV541,231018602483341,1.2E+15,,CANCELLED,,,18-10-2023 14:48,18-10-2023 14:48,18-10-2023 14:47,regular,FALSE,NFO,NIFTY23OCT19350PE,17227522,LIMIT,SELL,DAY,0,NRML,50,0,29.85,0,0,0,50,50,0,{},TradeViaPython,['TradeViaPython'],01XIns4232p0Asm
28,CHV541,231018602490504,1.2E+15,,COMPLETE,,,18-10-2023 14:48,18-10-2023 14:48,18-10-2023 14:48,regular,FALSE,NFO,NIFTY23OCT20000CE,17233922,MARKET,BUY,DAY,0,NRML,50,0,0,0,22.05,50,0,0,0,{},,,01XSokRHHJjqq0b
